Title,Link,keywords,publicationDate,authors,publication,abstract
Endosidin2 targets conserved exocyst complex subunit EXO70 to inhibit exocytosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10264680/,[],2021-10-16,['Dr. James Rodriguez'],Journal of Exobiology,This research paper investigates endosidin2 targets conserved exocyst complex subunit exo70 to inhibit exocytosis. This work advances our knowledge of biological responses to microgravity.
"A conditional mutation in SCD1 reveals linkage between PIN protein trafficking, auxin transport, gravitropism, and lateral root initiation.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7358545/,['Protein'],2020-05-21,['Dr. James Rodriguez'],Journal of Exobiology,"This research paper investigates a conditional mutation in scd1 reveals linkage between pin protein trafficking, auxin transport, gravitropism, and lateral root initiation.. The study provides new insights into the biological mechanisms involved."
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 1: Intracellular overdrive for SARS-CoV-2 infection.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9108708/,['Cell'],2024-12-06,['Dr. Eva Rostova'],Space Life Sciences,"This research paper investigates a comprehensive sars-cov-2 and covid-19 review, part 1: intracellular overdrive for sars-cov-2 infection.. Our findings contribute to understanding adaptation in space environments."
Changes in nuclear shape and gene expression in response to simulated microgravity are LINC complex-dependent.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7555797/,"['Microgravity', 'Gene']",2024-07-27,['Dr. Thomas Anderson'],Journal of Exobiology,This research paper investigates changes in nuclear shape and gene expression in response to simulated microgravity are linc complex-dependent.. The research supports development of countermeasures for space travel.
"Growth of Carnobacterium spp. from permafrost under low pressure, temperature, and anoxic atmosphere has implications for Earth microbes on Mars",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3545801/,"['Rat', 'Growth', 'Mars']",2023-11-24,"['Dr. Sofia Rossi', 'Dr. Lisa Park', 'Dr. Elena Petrov']",Journal of Astrobiology,"This research paper investigates growth of carnobacterium spp. from permafrost under low pressure, temperature, and anoxic atmosphere has implications for earth microbes on mars. The results have implications for long-duration space missions."
Complete Genome Sequence of Carnobacterium gilichinskyi Strain WN1359T (DSM 27470T),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3869332/,[],2022-05-17,"['Dr. Richard Chen', 'Dr. Thomas Anderson', 'Dr. Samuel Jones', 'Dr. Amanda Taylor']",Space Medicine Review,This research paper investigates complete genome sequence of carnobacterium gilichinskyi strain wn1359t (dsm 27470t). Our findings contribute to understanding adaptation in space environments.
"Exposure of Bacillus subtilis to low pressure (5 kilopascals) induces several global regulons, including those involved in the SigB-mediated general stress response",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4135744/,"['Gene', 'Stress']",2020-10-31,['Dr. Kenji Tanaka'],Journal of Astrobiology,"This research paper investigates exposure of bacillus subtilis to low pressure (5 kilopascals) induces several global regulons, including those involved in the sigb-mediated general stress response. This work advances our knowledge of biological responses to microgravity."
"Resistance of Bacillus subtilis Spore DNA to Lethal Ionizing Radiation Damage Relies Primarily on Spore Core Components and DNA Repair, with Minor Effects of Oxygen Radical Detoxification",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3911009/,"['Dna', 'Radiation']",2023-07-23,"['Dr. Sofia Rossi', 'Dr. Elena Petrov']",Journal of Astrobiology,"This research paper investigates resistance of bacillus subtilis spore dna to lethal ionizing radiation damage relies primarily on spore core components and dna repair, with minor effects of oxygen radical detoxification. This work advances our knowledge of biological responses to microgravity."
Cultivation of Staphylococcus epidermidis in the human spaceflight environment leads to alterations in the frequency and spectrum of spontaneous rifampicin-resistance mutations in the rpoB gene,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4923109/,"['Space', 'Gene', 'Rat', 'Human', 'Spaceflight']",2021-12-03,"['Dr. Amanda Taylor', 'Dr. Samuel Jones', 'Dr. Kenji Tanaka', 'Dr. James Rodriguez']",Space Medicine Review,This research paper investigates cultivation of staphylococcus epidermidis in the human spaceflight environment leads to alterations in the frequency and spectrum of spontaneous rifampicin-resistance mutations in the rpob gene. The results have implications for long-duration space missions.
Experimental Evolution of Bacillus subtilis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11673879/,[],2023-10-19,"['Dr. Elena Petrov', 'Dr. Ben Carter']",Aerospace Medicine and Human Performance,This research paper investigates experimental evolution of bacillus subtilis. The results have implications for long-duration space missions.
Cultivation in space flight produces minimal alterations in the susceptibility of Bacillus subtilis cells to 72 different antibiotics and growth-inhibiting compounds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5648920/,"['Rat', 'Cell', 'Growth', 'Space']",2024-11-12,"['Dr. Catherine Martinez', 'Dr. Sofia Rossi', 'Dr. Sarah Wilson', 'Dr. Robert Garcia']",Life Support & Space Habitation,This research paper investigates cultivation in space flight produces minimal alterations in the susceptibility of bacillus subtilis cells to 72 different antibiotics and growth-inhibiting compounds. The results have implications for long-duration space missions.
Alterations in the Spectrum of Spontaneous Rifampicin-Resistance Mutations in the Bacillus subtilis rpoB Gene after Cultivation in the Human Spaceflight Environment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5817088/,"['Space', 'Gene', 'Rat', 'Human', 'Spaceflight']",2022-01-02,"['Dr. Eva Rostova', 'Dr. David Kim', 'Dr. Richard Chen', 'Dr. Lisa Park']",Journal of Astrobiology,This research paper investigates alterations in the spectrum of spontaneous rifampicin-resistance mutations in the bacillus subtilis rpob gene after cultivation in the human spaceflight environment. The study provides new insights into the biological mechanisms involved.
Mechanotransduction in Prokaryotes: A Possible Mechanism of Spaceflight Adaptation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7825584/,"['Adaptation', 'Spaceflight', 'Space']",2020-11-17,"['Dr. Maria Gonzalez', 'Dr. Aisha Khan', 'Dr. David Kim']",Aerospace Medicine and Human Performance,This research paper investigates mechanotransduction in prokaryotes: a possible mechanism of spaceflight adaptation. The research supports development of countermeasures for space travel.
Environmental dependence of competitive fitness in rifampin-resistant rpoB mutants of Bacillus subtilis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8904044/,[],2024-08-08,['Dr. Robert Garcia'],Gravitational and Space Research,This research paper investigates environmental dependence of competitive fitness in rifampin-resistant rpob mutants of bacillus subtilis.. The results have implications for long-duration space missions.
Analysis of interactions of Salmonella type three secretion mutants with 3-D intestinal epithelial cells.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3012082/,['Cell'],2023-01-09,['Dr. Amanda Taylor'],Gravitational and Space Research,This research paper investigates analysis of interactions of salmonella type three secretion mutants with 3-d intestinal epithelial cells.. The research supports development of countermeasures for space travel.
Organotypic 3D cell culture models: using the rotating wall vessel to study host-pathogen interactions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11088941/,"['Organ', 'Cell']",2022-10-12,['Dr. Ben Carter'],Journal of Exobiology,This research paper investigates organotypic 3d cell culture models: using the rotating wall vessel to study host-pathogen interactions.. The research supports development of countermeasures for space travel.
Induction of attachment-independent biofilm formation and repression of Hfq expression by low-fluid-shear culture of Staphylococcus aureus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3187170/,[],2022-04-11,"['Dr. Aisha Khan', 'Dr. Catherine Martinez', 'Dr. Lisa Park', 'Dr. Thomas Anderson']",Aerospace Medicine and Human Performance,This research paper investigates induction of attachment-independent biofilm formation and repression of hfq expression by low-fluid-shear culture of staphylococcus aureus. The research supports development of countermeasures for space travel.
Characterization of the Salmonella enterica serovar Typhimurium ydcI gene which encodes a conserved DNA binding protein required for full acid stress resistance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3133089/,"['Gene', 'Dna', 'Stress', 'Protein']",2021-06-08,['Dr. Richard Chen'],Aerospace Medicine and Human Performance,This research paper investigates characterization of the salmonella enterica serovar typhimurium ydci gene which encodes a conserved dna binding protein required for full acid stress resistance.. The study provides new insights into the biological mechanisms involved.
Evaluation of microorganisms cultured from injured and repressed tissue regeneration sites in endangered giant aquatic Ozark Hellbender salamanders.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3242767/,"['Regeneration', 'Gene', 'Organ', 'Iss', 'Rat', 'Tissue']",2022-04-04,"['Dr. Catherine Martinez', 'Dr. Aisha Khan', 'Dr. Robert Garcia']",Journal of Astrobiology,This research paper investigates evaluation of microorganisms cultured from injured and repressed tissue regeneration sites in endangered giant aquatic ozark hellbender salamanders.. Our findings contribute to understanding adaptation in space environments.
Transcriptional and proteomic responses of Pseudomonas aeruginosa PAO1 to spaceflight conditions involve Hfq regulation and reveal a role for oxygen.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3067220/,"['Spaceflight', 'Space']",2024-02-12,['Dr. Eva Rostova'],Journal of Exobiology,This research paper investigates transcriptional and proteomic responses of pseudomonas aeruginosa pao1 to spaceflight conditions involve hfq regulation and reveal a role for oxygen.. The results have implications for long-duration space missions.
New insights into the bacterial fitness-associated mechanisms revealed by the characterization of large plasmids of an avian pathogenic E. coli,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3251573/,['Bacteria'],2020-07-14,"['Dr. David Kim', 'Dr. Sofia Rossi']",Journal of Exobiology,This research paper investigates new insights into the bacterial fitness-associated mechanisms revealed by the characterization of large plasmids of an avian pathogenic e. coli. Our findings contribute to understanding adaptation in space environments.
Lack of norovirus replication and histo-blood group antigen expression in 3-dimensional intestinal epithelial cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3647661/,['Cell'],2022-11-03,['Dr. Sofia Rossi'],Space Life Sciences,This research paper investigates lack of norovirus replication and histo-blood group antigen expression in 3-dimensional intestinal epithelial cells. The results have implications for long-duration space missions.
Conservation of the low-shear modeled microgravity response in Enterobacteriaceae and analysis of the trp genes in this response.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4085587/,"['Bacteria', 'Microgravity', 'Gene']",2022-01-04,"['Dr. Thomas Anderson', 'Dr. Robert Garcia', 'Dr. David Kim']",Microgravity Science and Technology,This research paper investigates conservation of the low-shear modeled microgravity response in enterobacteriaceae and analysis of the trp genes in this response.. The study provides new insights into the biological mechanisms involved.
Mimicking the host and its microenvironment in vitro for studying mucosal infections by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4096993/,[],2022-05-04,"['Dr. Samuel Jones', 'Dr. Lisa Park', 'Dr. Robert Garcia']",Space Life Sciences,This research paper investigates mimicking the host and its microenvironment in vitro for studying mucosal infections by pseudomonas aeruginosa.. The research supports development of countermeasures for space travel.
Effects of Sex and Gender on Adaptation to Space: Immune System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7467030/,"['Immune', 'Adaptation', 'Space']",2024-10-08,"['Dr. Jian Li', 'Dr. Amanda Taylor', 'Dr. Jennifer Lee', 'Dr. Maria Gonzalez']",International Journal of Space Biology,This research paper investigates effects of sex and gender on adaptation to space: immune system. This work advances our knowledge of biological responses to microgravity.
Recellularization of decellularized lung scaffolds is enhanced by dynamic suspension culture.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4427280/,['Cell'],2022-11-14,['Dr. Michael Brown'],Life Support & Space Habitation,This research paper investigates recellularization of decellularized lung scaffolds is enhanced by dynamic suspension culture.. Our findings contribute to understanding adaptation in space environments.
Three-dimensional organotypic co-culture model of intestinal epithelial cells and macrophages to study Salmonella enterica colonization patterns.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460263/,"['Organ', 'Cell']",2022-11-16,"['Dr. Aisha Khan', 'Dr. David Kim', 'Dr. Kenji Tanaka']",Life Support & Space Habitation,This research paper investigates three-dimensional organotypic co-culture model of intestinal epithelial cells and macrophages to study salmonella enterica colonization patterns.. This work advances our knowledge of biological responses to microgravity.
Modeling Host-Pathogen Interactions in the Context of the Microenvironment: 3-D Cell Culture Comes of Age.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204695/,['Cell'],2022-08-28,"['Dr. Amanda Taylor', 'Dr. Jian Li', 'Dr. Jennifer Lee', 'Dr. Lisa Park']",Space Medicine Review,This research paper investigates modeling host-pathogen interactions in the context of the microenvironment: 3-d cell culture comes of age.. The results have implications for long-duration space missions.
Evaluating the effect of spaceflight on the host–pathogen interaction between human intestinal epithelial cells and Salmonella Typhimurium,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7943786/,"['Human', 'Cell', 'Spaceflight', 'Space']",2021-09-25,"['Dr. Maria Gonzalez', 'Dr. Michael Brown']",Journal of Exobiology,This research paper investigates evaluating the effect of spaceflight on the host⊓pathogen interaction between human intestinal epithelial cells and salmonella typhimurium. The results have implications for long-duration space missions.
Rapid phenotypic response of LSMMG-'primed' Candida albicans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11888247/,[],2024-11-25,"['Dr. Aisha Khan', 'Dr. Michael Brown', 'Dr. Catherine Martinez', 'Dr. Thomas Anderson']",Gravitational and Space Research,This research paper investigates rapid phenotypic response of lsmmg-'primed' candida albicans.. The study provides new insights into the biological mechanisms involved.
Spaceflight enhances cell aggregation and random budding in Candida albicans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3851762/,"['Cell', 'Spaceflight', 'Space']",2020-06-13,['Dr. Amanda Taylor'],Life Support & Space Habitation,This research paper investigates spaceflight enhances cell aggregation and random budding in candida albicans.. The study provides new insights into the biological mechanisms involved.
"Growth and antifungal resistance of the pathogenic yeast, Candida albicans, in the microgravity environment of the International Space Station: An aggregate of multiple flight experiences.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8067245/,"['Fungal', 'Growth', 'International Space Station', 'Yeast', 'Microgravity', 'Space']",2022-10-14,"['Dr. Sofia Rossi', 'Dr. Catherine Martinez', 'Dr. Maria Gonzalez', 'Dr. James Rodriguez']",Journal of Astrobiology,"This research paper investigates growth and antifungal resistance of the pathogenic yeast, candida albicans, in the microgravity environment of the international space station: an aggregate of multiple flight experiences.. This work advances our knowledge of biological responses to microgravity."
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,['Gene'],2024-03-10,['Dr. Lisa Park'],Gravitational and Space Research,This research paper investigates nasa genelab rna-seq consensus pipeline: standardized processing of short-read rna-seq data. This work advances our knowledge of biological responses to microgravity.
Challenges and considerations for single-cell and spatially resolved transcriptomics sample collection during spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9701605/,"['Cell', 'Rat', 'Spaceflight', 'Space']",2022-02-24,['Dr. Aisha Khan'],Microgravity Science and Technology,This research paper investigates challenges and considerations for single-cell and spatially resolved transcriptomics sample collection during spaceflight.. Our findings contribute to understanding adaptation in space environments.
Direct RNA sequencing of astronaut blood reveals spaceflight-associated m6A increases and hematopoietic transcriptional responses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166648/,"['Spaceflight', 'Astronaut', 'Space']",2022-12-09,"['Dr. Jian Li', 'Dr. Catherine Martinez']",Radiation Research,This research paper investigates direct rna sequencing of astronaut blood reveals spaceflight-associated m6a increases and hematopoietic transcriptional responses. Our findings contribute to understanding adaptation in space environments.
Collection of biospecimens from the inspiration4 mission establishes the standards for the space omics and medical atlas (SOMA),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166662/,"['Rat', 'Iss', 'Space']",2024-08-28,"['Dr. Ben Carter', 'Dr. Amanda Taylor', 'Dr. Samuel Jones']",Microgravity Science and Technology,This research paper investigates collection of biospecimens from the inspiration4 mission establishes the standards for the space omics and medical atlas (soma). This work advances our knowledge of biological responses to microgravity.
Microfluidics-enabled method to identify modes of Caenorhabditis elegans paralysis in four anthelmintics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3838407/,"['Caenorhabditis', 'Elegans']",2023-10-21,['Dr. Robert Garcia'],Space Life Sciences,This research paper investigates microfluidics-enabled method to identify modes of caenorhabditis elegans paralysis in four anthelmintics.. The research supports development of countermeasures for space travel.
Multiparameter behavioral analyses provide insights to mechanisms of cyanide resistance in Caenorhabditis elegans.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3748764/,"['Caenorhabditis', 'Elegans']",2022-05-26,"['Dr. Catherine Martinez', 'Dr. Kenji Tanaka', 'Dr. Amanda Taylor', 'Dr. David Kim']",Journal of Exobiology,This research paper investigates multiparameter behavioral analyses provide insights to mechanisms of cyanide resistance in caenorhabditis elegans.. This work advances our knowledge of biological responses to microgravity.
Growth performance and root transcriptome remodeling of Arabidopsis in response to Mars-like levels of magnesium sulfate.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2925951/,"['Arabidopsis', 'Growth', 'Mars']",2023-01-05,['Dr. Michael Brown'],International Journal of Space Biology,This research paper investigates growth performance and root transcriptome remodeling of arabidopsis in response to mars-like levels of magnesium sulfate.. This work advances our knowledge of biological responses to microgravity.
The 14-3-3 proteins of Arabidopsis regulate root growth and chloroplast development as components of the photosensory system.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3350920/,"['Arabidopsis', 'Growth', 'Development', 'Protein']",2023-08-20,"['Dr. Ben Carter', 'Dr. Samuel Jones', 'Dr. Thomas Anderson']",Space Medicine Review,This research paper investigates the 14-3-3 proteins of arabidopsis regulate root growth and chloroplast development as components of the photosensory system.. Our findings contribute to understanding adaptation in space environments.
14-3-3 phosphoprotein interaction networks - does isoform diversity present functional interaction specification?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3422896/,['Protein'],2022-04-27,"['Dr. Ben Carter', 'Dr. Lisa Park']",Radiation Research,This research paper investigates 14-3-3 phosphoprotein interaction networks - does isoform diversity present functional interaction specification?. The results have implications for long-duration space missions.
Plant growth strategies are remodeled by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11869762/,"['Rat', 'Spaceflight', 'Growth', 'Space']",2022-11-15,"['Dr. Jian Li', 'Dr. James Rodriguez', 'Dr. Maria Gonzalez']",Life Support & Space Habitation,This research paper investigates plant growth strategies are remodeled by spaceflight. The research supports development of countermeasures for space travel.
Spaceflight transcriptomes: unique responses to a novel environment.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10712242/,"['Spaceflight', 'Space']",2021-01-28,"['Dr. Sarah Wilson', 'Dr. James Rodriguez']",Radiation Research,This research paper investigates spaceflight transcriptomes: unique responses to a novel environment.. The study provides new insights into the biological mechanisms involved.
Fundamental plant biology enabled by the space shuttle.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6143729/,['Space'],2020-01-17,['Dr. Kenji Tanaka'],Journal of Exobiology,This research paper investigates fundamental plant biology enabled by the space shuttle.. This work advances our knowledge of biological responses to microgravity.
Organ-specific remodeling of the Arabidopsis transcriptome in response to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10058394/,"['Arabidopsis', 'Organ', 'Spaceflight', 'Space']",2023-06-16,"['Dr. Richard Chen', 'Dr. Jian Li']",Microgravity Science and Technology,This research paper investigates organ-specific remodeling of the arabidopsis transcriptome in response to spaceflight.. Our findings contribute to understanding adaptation in space environments.
A method for preparing spaceflight RNAlater-fixed Arabidopsis thaliana (Brassicaceae) tissue for scanning electron microscopy.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103452/,"['Space', 'Spaceflight', 'Iss', 'Arabidopsis', 'Tissue']",2024-10-14,['Dr. Sarah Wilson'],Life Support & Space Habitation,This research paper investigates a method for preparing spaceflight rnalater-fixed arabidopsis thaliana (brassicaceae) tissue for scanning electron microscopy.. The results have implications for long-duration space missions.
ARG1 Functions in the Physiological Adaptation of Undifferentiated Plant Cells to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8024390/,"['Cell', 'Adaptation', 'Spaceflight', 'Space']",2023-04-30,['Dr. Aisha Khan'],Journal of Exobiology,This research paper investigates arg1 functions in the physiological adaptation of undifferentiated plant cells to spaceflight. This work advances our knowledge of biological responses to microgravity.
A Member of the CONSTANS-Like Protein Family is a Putative Regulator of ROS Homeostasis and Spaceflight Physiological Adaptation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6348315/,"['Adaptation', 'Spaceflight', 'Protein', 'Space']",2024-10-18,"['Dr. Kenji Tanaka', 'Dr. Elena Petrov', 'Dr. Richard Chen', 'Dr. Jennifer Lee']",Aerospace Medicine and Human Performance,This research paper investigates a member of the constans-like protein family is a putative regulator of ros homeostasis and spaceflight physiological adaptation. Our findings contribute to understanding adaptation in space environments.
HSFA2 Functions in the Physiological Adaptation of Undifferentiated Plant Cells to Spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6359015/,"['Cell', 'Adaptation', 'Spaceflight', 'Space']",2023-01-26,['Dr. Jian Li'],Space Life Sciences,This research paper investigates hsfa2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight.. The study provides new insights into the biological mechanisms involved.
Neutrophil to Lymphocyte ratio: A biomarker to monitor the immune status of astronauts.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7667275/,"['Immune', 'Astronaut', 'Rat']",2020-06-25,"['Dr. Robert Garcia', 'Dr. Richard Chen']",Journal of Exobiology,This research paper investigates neutrophil to lymphocyte ratio: a biomarker to monitor the immune status of astronauts.. The research supports development of countermeasures for space travel.
Beyond low-Earth orbit: Characterizing immune and microRNA differentials following simulated deep spaceflight conditions in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7756144/,"['Mice', 'Space', 'Immune', 'Orbit', 'Spaceflight']",2021-01-23,"['Dr. Jennifer Lee', 'Dr. Kenji Tanaka', 'Dr. Samuel Jones']",Space Medicine Review,This research paper investigates beyond low-earth orbit: characterizing immune and microrna differentials following simulated deep spaceflight conditions in mice.. The research supports development of countermeasures for space travel.
Immunological and hematological outcomes following protracted low dose/low dose rate ionizing radiation and simulated microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8169688/,"['Rat', 'Microgravity', 'Radiation']",2022-10-22,"['Dr. Samuel Jones', 'Dr. Catherine Martinez']",Journal of Exobiology,This research paper investigates immunological and hematological outcomes following protracted low dose/low dose rate ionizing radiation and simulated microgravity. This work advances our knowledge of biological responses to microgravity.
Epigenomic regulators elongator complex subunit 2 and methyltransferase 1 differentially condition the spaceflight response in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475764/,"['Arabidopsis', 'Spaceflight', 'Space']",2022-10-23,['Dr. Aisha Khan'],Space Life Sciences,This research paper investigates epigenomic regulators elongator complex subunit 2 and methyltransferase 1 differentially condition the spaceflight response in arabidopsis. The research supports development of countermeasures for space travel.
Plants grown in Apollo lunar regolith present stress-associated transcriptomes that inform prospects for lunar exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9098553/,"['Stress', 'Lunar', 'Rat']",2024-01-29,"['Dr. David Kim', 'Dr. Eva Rostova']",International Journal of Space Biology,This research paper investigates plants grown in apollo lunar regolith present stress-associated transcriptomes that inform prospects for lunar exploration. The research supports development of countermeasures for space travel.
Artificial gravity partially protects space-induced neurological deficits in Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10503492/,"['Drosophila', 'Space']",2022-12-20,"['Dr. Samuel Jones', 'Dr. Aisha Khan', 'Dr. Lisa Park']",International Journal of Space Biology,This research paper investigates artificial gravity partially protects space-induced neurological deficits in drosophila melanogaster.. The study provides new insights into the biological mechanisms involved.
Utilizing the KSC fixation tube to conduct human-tended plant biology experiments on a suborbital spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9693084/,"['Human', 'Spaceflight', 'Orbit', 'Space']",2021-05-15,"['Dr. Maria Gonzalez', 'Dr. David Kim', 'Dr. Samuel Jones']",Space Life Sciences,This research paper investigates utilizing the ksc fixation tube to conduct human-tended plant biology experiments on a suborbital spaceflight. The results have implications for long-duration space missions.
Changes in Mouse Thymus and Spleen after Return from the STS-135 Mission in Space,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3792163/,"['Mouse', 'Iss', 'Space']",2020-11-12,"['Dr. Sarah Wilson', 'Dr. Elena Petrov', 'Dr. David Kim']",International Journal of Space Biology,This research paper investigates changes in mouse thymus and spleen after return from the sts-135 mission in space. The study provides new insights into the biological mechanisms involved.
Post-Spaceflight (STS-135) Mouse Splenocytes Demonstrate Altered Activation Properties and Surface Molecule Expression.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4430214/,"['Mouse', 'Rat', 'Spaceflight', 'Space']",2022-10-26,"['Dr. Samuel Jones', 'Dr. Lisa Park', 'Dr. David Kim', 'Dr. Michael Brown']",Space Life Sciences,This research paper investigates post-spaceflight (sts-135) mouse splenocytes demonstrate altered activation properties and surface molecule expression.. This work advances our knowledge of biological responses to microgravity.
Changes in the distribution and function of leukocytes after whole-body iron ion irradiation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5045078/,['Radiation'],2022-09-23,"['Dr. Catherine Martinez', 'Dr. Richard Chen', 'Dr. Thomas Anderson']",International Journal of Space Biology,This research paper investigates changes in the distribution and function of leukocytes after whole-body iron ion irradiation.. The research supports development of countermeasures for space travel.
Is spaceflight-induced immune dysfunction linked to systemic changes in metabolism?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5443495/,"['Immune', 'Metabolism', 'Spaceflight', 'Space']",2021-05-03,"['Dr. Richard Chen', 'Dr. Michael Brown']",Radiation Research,This research paper investigates is spaceflight-induced immune dysfunction linked to systemic changes in metabolism?. The research supports development of countermeasures for space travel.
Spaceflight Activates Autophagy Programs and the Proteasome in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666744/,"['Mouse', 'Liver', 'Spaceflight', 'Space']",2023-09-06,"['Dr. Richard Chen', 'Dr. Sofia Rossi', 'Dr. Robert Garcia', 'Dr. Kenji Tanaka']",Life Support & Space Habitation,This research paper investigates spaceflight activates autophagy programs and the proteasome in mouse liver. The results have implications for long-duration space missions.
Vive la radiorésistance!: Converging research in radiobiology and biogerontology to enhance human radioresistance for deep space exploration and colonization.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5865701/,"['Human', 'Rat', 'Space']",2022-10-05,"['Dr. Jennifer Lee', 'Dr. Michael Brown', 'Dr. Catherine Martinez', 'Dr. David Kim']",Aerospace Medicine and Human Performance,This research paper investigates vive la radiorésistance!: converging research in radiobiology and biogerontology to enhance human radioresistance for deep space exploration and colonization.. Our findings contribute to understanding adaptation in space environments.
Proteomic analysis of mouse brain subjected to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6337482/,"['Brain', 'Mouse', 'Spaceflight', 'Space']",2024-08-05,"['Dr. Ben Carter', 'Dr. Jennifer Lee']",Microgravity Science and Technology,This research paper investigates proteomic analysis of mouse brain subjected to spaceflight.. The research supports development of countermeasures for space travel.
Transcriptomic effects on the mouse heart following 30 days on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9953463/,"['Mouse', 'International Space Station', 'Heart', 'Space']",2020-12-01,"['Dr. Eva Rostova', 'Dr. Michael Brown']",International Journal of Space Biology,This research paper investigates transcriptomic effects on the mouse heart following 30 days on the international space station.. Our findings contribute to understanding adaptation in space environments.
Spaceflight-induced gene expression profiles in the mouse brain are attenuated by treatment with the antioxidant BuOE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10487739/,"['Brain', 'Space', 'Mouse', 'Gene', 'Spaceflight']",2024-04-02,"['Dr. Jennifer Lee', 'Dr. Amanda Taylor', 'Dr. Michael Brown']",Journal of Astrobiology,This research paper investigates spaceflight-induced gene expression profiles in the mouse brain are attenuated by treatment with the antioxidant buoe. Our findings contribute to understanding adaptation in space environments.
Basal signaling regulates plant growth and development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11942576/,"['Growth', 'Development']",2022-01-25,['Dr. Richard Chen'],Gravitational and Space Research,This research paper investigates basal signaling regulates plant growth and development. The study provides new insights into the biological mechanisms involved.
